sample_id,map_id,tx_id,ratio,sample_count,nmse,rmse_db,mae_db,time_sec,fig_path
s080_tx75,80,75,0.005,230,0.027201897536687974,6.296711405317195,3.1277493549214235,1.0113415000005261,kriging_results\s080_tx75\map80_tx75_ratio0_0050.png
s080_tx75,80,75,0.01,460,0.020752027352605906,5.499769118055079,2.207279293808154,1.4678168999998888,kriging_results\s080_tx75\map80_tx75_ratio0_0100.png
s080_tx75,80,75,0.02,919,0.017287644509456666,5.019750138517814,1.789781878141131,2.2228699999996024,kriging_results\s080_tx75\map80_tx75_ratio0_0200.png
s080_tx76,80,76,0.005,230,0.029151406723115156,6.335246446585427,3.0916927996430155,0.9459473000006255,kriging_results\s080_tx76\map80_tx76_ratio0_0050.png
s080_tx76,80,76,0.01,460,0.016794690469234246,4.808612161531347,1.9689489751012401,1.453317700000298,kriging_results\s080_tx76\map80_tx76_ratio0_0100.png
s080_tx76,80,76,0.02,919,0.014040413883618624,4.396668311183441,1.5574374785599938,2.193708599999809,kriging_results\s080_tx76\map80_tx76_ratio0_0200.png
s080_tx79,80,79,0.005,230,0.02858604353532448,6.53186071543135,3.267154257654731,0.9585501999999906,kriging_results\s080_tx79\map80_tx79_ratio0_0050.png
s080_tx79,80,79,0.01,460,0.020461139230308595,5.526177146901824,2.250710499475411,1.3507879999997385,kriging_results\s080_tx79\map80_tx79_ratio0_0100.png
s080_tx79,80,79,0.02,919,0.01724110669064952,5.072738367609387,1.8320724289229233,2.0806210999999166,kriging_results\s080_tx79\map80_tx79_ratio0_0200.png
s094_tx04,94,4,0.005,305,0.0028116564505123952,2.437529756125979,0.7622842104692193,1.3939340999995693,kriging_results\s094_tx04\map94_tx4_ratio0_0050.png
s094_tx04,94,4,0.01,609,0.002247500713317396,2.1793085397308145,0.5332257605704025,2.1757778999999573,kriging_results\s094_tx04\map94_tx4_ratio0_0100.png
s094_tx04,94,4,0.02,1218,0.0014487375495143204,1.749700245868491,0.37863792053420137,3.4360194999999294,kriging_results\s094_tx04\map94_tx4_ratio0_0200.png
