sample_id,map_id,tx_id,ratio,sample_count,nmse,rmse_db,mae_db,time_sec,fig_path
s007_tx00,7,0,0.001,44,0.08860631538704508,10.48954633065782,7.3566613849859035,0.331881500000236,kriging_results_of_train\s007_tx00\map7_tx0_ratio0_0010.png
s007_tx06,7,6,0.001,44,0.14191576166607642,9.827212257911613,6.6617516096459175,0.33763230000022304,kriging_results_of_train\s007_tx06\map7_tx6_ratio0_0010.png
s007_tx07,7,7,0.001,44,0.08354277581188989,9.679905256143725,6.698986763924502,0.3640575000008539,kriging_results_of_train\s007_tx07\map7_tx7_ratio0_0010.png
s007_tx13,7,13,0.001,44,0.09657141456847629,9.774632587331228,6.71438496059609,0.33968890000051033,kriging_results_of_train\s007_tx13\map7_tx13_ratio0_0010.png
s007_tx20,7,20,0.001,44,0.10147294746117513,8.556071892045946,5.759644367561382,0.3454615999999078,kriging_results_of_train\s007_tx20\map7_tx20_ratio0_0010.png
s007_tx24,7,24,0.001,44,0.088092637796614,8.672056524553897,6.053196232003953,0.40851720000046043,kriging_results_of_train\s007_tx24\map7_tx24_ratio0_0010.png
s007_tx28,7,28,0.001,44,0.09261588255986779,9.120886007744568,6.329155737517127,0.3333446999995431,kriging_results_of_train\s007_tx28\map7_tx28_ratio0_0010.png
s007_tx36,7,36,0.001,44,0.0906815839782558,9.038252078143888,6.09423876977691,0.34024219999992056,kriging_results_of_train\s007_tx36\map7_tx36_ratio0_0010.png
s007_tx43,7,43,0.001,44,0.14188342848106233,11.681014612725765,7.526071030099969,0.33916470000076515,kriging_results_of_train\s007_tx43\map7_tx43_ratio0_0010.png
s007_tx44,7,44,0.001,44,0.0814872784490014,9.308428989552134,6.340359301519969,0.33744670000032784,kriging_results_of_train\s007_tx44\map7_tx44_ratio0_0010.png
s007_tx46,7,46,0.001,44,0.0977175132072415,10.483404472501736,6.972053491018039,0.3409438999997292,kriging_results_of_train\s007_tx46\map7_tx46_ratio0_0010.png
s007_tx49,7,49,0.001,44,0.08619698039912388,8.426207874857797,5.69638645487568,0.34700530000009167,kriging_results_of_train\s007_tx49\map7_tx49_ratio0_0010.png
s007_tx50,7,50,0.001,44,0.09093420814498974,9.712710962311931,6.667485867321295,0.3497151000001395,kriging_results_of_train\s007_tx50\map7_tx50_ratio0_0010.png
s007_tx52,7,52,0.001,44,0.07789430776413377,9.161507098132633,6.313977550160436,0.40716169999996055,kriging_results_of_train\s007_tx52\map7_tx52_ratio0_0010.png
s007_tx59,7,59,0.001,44,0.08408259787854626,9.56927637625391,6.738257438849495,0.47879530000045634,kriging_results_of_train\s007_tx59\map7_tx59_ratio0_0010.png
s007_tx67,7,67,0.001,44,0.08998435952286053,9.951534024253267,6.83591010969199,0.39522949999991397,kriging_results_of_train\s007_tx67\map7_tx67_ratio0_0010.png
s007_tx69,7,69,0.001,44,0.11928279429686629,9.04378585536685,6.423188050413498,0.3650899999993271,kriging_results_of_train\s007_tx69\map7_tx69_ratio0_0010.png
s007_tx73,7,73,0.001,44,0.09002793959149132,8.208720128903403,5.5583976669883794,0.3529543000004196,kriging_results_of_train\s007_tx73\map7_tx73_ratio0_0010.png
s007_tx76,7,76,0.001,44,0.09155867602443098,10.242468663539919,6.93316884237988,0.39285449999988487,kriging_results_of_train\s007_tx76\map7_tx76_ratio0_0010.png
s007_tx77,7,77,0.001,44,0.1111389678623918,9.03623807922191,6.366319371456198,0.36515439999948285,kriging_results_of_train\s007_tx77\map7_tx77_ratio0_0010.png
s014_tx01,14,1,0.001,46,0.07635688991844311,9.361459448451745,6.335185065654194,0.40484749999995984,kriging_results_of_train\s014_tx01\map14_tx1_ratio0_0010.png
s014_tx04,14,4,0.001,46,0.06177265912359948,9.070800050456842,6.139286560439448,0.3810888999996678,kriging_results_of_train\s014_tx04\map14_tx4_ratio0_0010.png
s014_tx05,14,5,0.001,46,0.08265168029737607,10.28806810671104,7.306670362393716,0.3588835000000472,kriging_results_of_train\s014_tx05\map14_tx5_ratio0_0010.png
s014_tx08,14,8,0.001,46,0.10374966460082166,9.535141327589765,6.5687337686354175,0.36442020000049524,kriging_results_of_train\s014_tx08\map14_tx8_ratio0_0010.png
s014_tx09,14,9,0.001,46,0.08301428561519326,10.377591223941286,7.288564843719905,0.38416119999965304,kriging_results_of_train\s014_tx09\map14_tx9_ratio0_0010.png
s014_tx20,14,20,0.001,46,0.08296430498136925,9.236243697069375,6.583089006109929,0.3667003000000477,kriging_results_of_train\s014_tx20\map14_tx20_ratio0_0010.png
s014_tx24,14,24,0.001,46,0.08946943219085157,9.02540822970798,6.158452428624742,0.36433320000014646,kriging_results_of_train\s014_tx24\map14_tx24_ratio0_0010.png
s014_tx25,14,25,0.001,46,0.09718869063654315,9.806022345775297,6.481958696978168,0.37251219999961904,kriging_results_of_train\s014_tx25\map14_tx25_ratio0_0010.png
